"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Heavy Hammer","TLotRR","73","none","Weapon, Martial Weapon, Melee Weapon","","1d8 Bludgeoning","heavy, versatile (1d10)","","4 lb.","1 G","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Hematite","DMG'14","134","none","Treasure (Gemstone)","","","","","","10 GP","An opaque gray-black gemstone."
"Hematite","DMG'24","214","none","Treasure (Gemstone)","","","","","","10 GP","A gray black gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Hempen Rope (50 feet)","PHB'14","153","none","Adventuring Gear","","","","","10 lb.","1 GP","Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check."
"Herbalism Kit","PHB'14","154","none","Tool","","","","","3 lb.","5 GP","This kit contains a variety of instruments such as clippers, mortar and pestle, and pouches and vials used by herbalists to create remedies and potions. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to identify or apply herbs. Also, proficiency with this kit is required to create antitoxin and potions of healing.Proficiency with an herbalism kit allows you to identify plants and safely collect their useful elements. Components. An herbalism kit includes pouches to store herbs, clippers and leather gloves for collecting plants, a mortar and pestle, and several glass jars. Arcana. Your knowledge of the nature and uses of herbs can add insight to your magical studies that deal with plants and your attempts to identify potions. Investigation. When you inspect an area overgrown with plants, your proficiency can help you pick out details and clues that others might miss. Medicine. Your mastery of herbalism improves your ability to treat illnesses and wounds by augmenting your methods of care with medicinal plants. Nature and Survival. When you travel in the wild, your skill in herbalism makes it easier to identify plants and spot sources of food that others might overlook. Identify Plants. You can identify most plants with a quick inspection of their appearance and smell.Herbalism KitActivityDCFind plants15Identify poison20See the Tool Proficiencies entry for more information."
"Herbalism Kit","TLotRR","74","none","Tool","","","","","3 lb.","5 S","This kit contains a variety of instruments such as clippers, mortar and pestle, and pouches and vials used by herbalists to create remedies and potions. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to identify or apply herbs. Also, proficiency with this kit is required to create antitoxin and potions of healing.If you are proficient with the herbalism kit, during each Fellowship Phase you can collect medicinal plants and use them to create a number of herbal remedies equal to your proficiency bonus, or twice as much if a feature lets you add double your proficiency bonus with the herbalism kit.A remedy can be expended to gain advantage on an Intelligence (Medicine) check, or it can be consumed as an action to gain advantage on saving throws against disease and poison for 1 hour.See the Tool Proficiencies entry for more information."
"Herbalism Kit","PHB'24","221","none","Tool","","","","","3 lb.","5 GP","Ability: IntelligenceUtilize: Identify a plant (DC 10)Craft: Antitoxin, Candle, Healer's Kit, Potion of HealingIf you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Hide Armor","PHB'14","144","none","Medium Armor","","AC 12 + Dex (max 2)","","","12 lb.","10 GP","This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
"Hide Armor","PHB'24","219","none","Medium Armor","","AC 12 + Dex (max 2)","","","12 lb.","10 GP",""
"Hide Barding","PHB'14","157","none","Tack and Harness (Hide Armor)","","AC 12 + Dex (max 2)","","","24 lb.","40 GP","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much."
"Holy Symbol","PHB'14","151","none","Spellcasting Focus","","","","","","","A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus.Multiple variations of this item exist, as listed below:AmuletEmblemReliquary"
"Holy Symbol","PHB'24","226","none","Spellcasting Focus","","","","","","","A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus.Multiple variations of this item exist, as listed below:AmuletEmblemReliquary"
"Holy Water","PHB'24","226","none","Adventuring Gear","","","","","1 lb.","25 GP","When you take the Attack action, you can replace one of your attacks with throwing a flask of Holy Water. Target one creature you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d8 Radiant damage if it is a Fiend or an Undead."
"Holy Water (flask)","PHB'14","151","none","Adventuring Gear","","","","","1 lb.","25 GP","As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage.A cleric or paladin may create holy water by performing a special ritual. The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot."
"Hooded Lantern","PHB'14","152","none","Adventuring Gear","","","","","2 lb.","5 GP","A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius."
"Hooded Lantern","PHB'24","226","none","Adventuring Gear","","","","","2 lb.","5 GP","A Hooded Lantern burns Oil as fuel to cast Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. As a Bonus Action, you can lower the hood, reducing the light to Dim Light in a 5-foot radius, or raise it again."
"Hooked Shortspear","OotA","224","unknown","Weapon, Martial Weapon, Melee Weapon","","1d4 Piercing","light","","2 lb.","","On a hit with this weapon, the wielder can forgo dealing damage and attempt to trip the target, in which case the target must succeed on a Strength saving throw or fall prone. The DC is 8 + the wielder's Strength modifier + the wielder's proficiency bonus. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Hoopak","DSotDQ","188","none","Weapon, Martial Weapon, Melee Weapon","","1d6 Piercing","ammunition (40/160 ft.), finesse, two‑handed, special","","2 lb.","1 SP","A hoopak is a sturdy stick with a sling at one end and a pointed tip at the other. Special. When you make a melee attack with this weapon, you ignore its ammunition property. You can use the hoopak as a martial ranged weapon. If you do, it uses the ammunition property, uses sling bullets, and deals 1d4 bludgeoning damage on a hit. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
